yourlist:M201501042EL1V9A9QJ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
NP_689557,Q3MHD2,LSM12_HUMAN,reviewed,Protein LSM12 homolog,LSM12,Homo sapiens (Human),195
NP_001074010,B9EGR5,B9EGR5_HUMAN,unreviewed,MGA protein,MGA,Homo sapiens (Human),2856
NP_001074010,Q8IWI9,MGAP_HUMAN,reviewed,MAX gene-associated protein (MAX dimerization protein 5),MGA KIAA0518 MAD5,Homo sapiens (Human),3026
NP_055335,Q9BQG0,MBB1A_HUMAN,reviewed,Myb-binding protein 1A,MYBBP1A P160,Homo sapiens (Human),1328
NP_653174,Q0ZGT2,NEXN_HUMAN,reviewed,Nexilin (F-actin-binding protein) (Nelin),NEXN,Homo sapiens (Human),675
NP_009134,Q9Y2D5,AKAP2_HUMAN,reviewed,A-kinase anchor protein 2 (AKAP-2) (AKAP-KL) (Protein kinase A-anchoring protein 2) (PRKA2),AKAP2 KIAA0920 PRKA2,Homo sapiens (Human),859
NP_003622,Q86W56,PARG_HUMAN,reviewed,Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143),PARG,Homo sapiens (Human),976
NP_002722,B2RB89,B2RB89_HUMAN,unreviewed,"Protein kinase, cAMP-dependent, catalytic, beta, isoform CRA_a (cAMP-dependent protein kinase catalytic subunit beta isoform 2) (cDNA, FLJ95374, Homo sapiens protein kinase, cAMP-dependent, catalytic, beta(PRKACB), transcript variant 2, mRNA)",PRKACB hCG_23660,Homo sapiens (Human),351
NP_002722,P22694,KAPCB_HUMAN,reviewed,cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11),PRKACB,Homo sapiens (Human),351
NP_056371,O43166,SI1L1_HUMAN,reviewed,Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1) (High-risk human papilloma viruses E6 oncoproteins targeted protein 1) (E6-targeted protein 1),SIPA1L1 E6TP1 KIAA0440,Homo sapiens (Human),1804
NP_003122,P11831,SRF_HUMAN,reviewed,Serum response factor (SRF),SRF,Homo sapiens (Human),508
NP_036275,Q9UBB9,TFP11_HUMAN,reviewed,Tuftelin-interacting protein 11 (Septin and tuftelin-interacting protein 1) (STIP-1),TFIP11 STIP HSPC006,Homo sapiens (Human),837
NP_060672,Q8N5G2,MACOI_HUMAN,reviewed,Macoilin (Transmembrane protein 57),TMEM57,Homo sapiens (Human),664
NP_005648,Q12888,TP53B_HUMAN,reviewed,Tumor suppressor p53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1),TP53BP1,Homo sapiens (Human),1972
"NP_078901,NP_064504",Q7Z2W4,ZCCHV_HUMAN,reviewed,Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP),ZC3HAV1 ZC3HDC2 PRO1677,Homo sapiens (Human),902
NP_877423,B3KMX0,B3KMX0_HUMAN,unreviewed,"cDNA FLJ12837 fis, clone NT2RP2003228, highly similar to DNA replication licensing factor MCM4",,Homo sapiens (Human),863
NP_877423,P33991,MCM4_HUMAN,reviewed,DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21),MCM4 CDC21,Homo sapiens (Human),863
NP_001013865,Q9NWH9,SLTM_HUMAN,reviewed,SAFB-like transcription modulator (Modulator of estrogen-induced transcription),SLTM MET,Homo sapiens (Human),1034
NP_444271,Q96EV2,RBM33_HUMAN,reviewed,RNA-binding protein 33 (Proline-rich protein 8) (RNA-binding motif protein 33),RBM33 PRR8,Homo sapiens (Human),1170
NP_061155,Q9NQW6,ANLN_HUMAN,reviewed,Actin-binding protein anillin,ANLN,Homo sapiens (Human),1124
NP_036564,Q15047,SETB1_HUMAN,reviewed,Histone-lysine N-methyltransferase SETDB1 (EC 2.1.1.43) (ERG-associated protein with SET domain) (ESET) (Histone H3-K9 methyltransferase 4) (H3-K9-HMTase 4) (Lysine N-methyltransferase 1E) (SET domain bifurcated 1),SETDB1 KIAA0067 KMT1E,Homo sapiens (Human),1291
NP_056097,Q7Z460,CLAP1_HUMAN,reviewed,CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1) (Multiple asters homolog 1) (Protein Orbit homolog 1) (hOrbit1),CLASP1 KIAA0622 MAST1,Homo sapiens (Human),1538
NP_004681,O95835,LATS1_HUMAN,reviewed,Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts),LATS1 WARTS,Homo sapiens (Human),1130
NP_036387,Q9H0D6,XRN2_HUMAN,reviewed,5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein),XRN2,Homo sapiens (Human),950
NP_055921,B3KV54,B3KV54_HUMAN,unreviewed,"cDNA FLJ16136 fis, clone BRACE3000520, highly similar to Mus musculus steroid receptor-interacting SNF2 domain protein",,Homo sapiens (Human),1056
NP_055921,Q9Y4B4,ARIP4_HUMAN,reviewed,Helicase ARIP4 (EC 3.6.4.12) (Androgen receptor-interacting protein 4) (RAD54-like protein 2),RAD54L2 ARIP4 KIAA0809,Homo sapiens (Human),1467
NP_003911,Q9UNS1,TIM_HUMAN,reviewed,Protein timeless homolog (hTIM),TIMELESS TIM TIM1 TIMELESS1,Homo sapiens (Human),1208
NP_060534,Q53H80,AKIR2_HUMAN,reviewed,Akirin-2,AKIRIN2 C6orf166,Homo sapiens (Human),203
NP_060534,Q9NW35,Q9NW35_HUMAN,unreviewed,"cDNA FLJ10342 fis, clone NT2RM2000837 (Fragment)",,Homo sapiens (Human),135
NP_006006,O14497,ARI1A_HUMAN,reviewed,"AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)",ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,Homo sapiens (Human),2285
NP_004631,Q13838,DX39B_HUMAN,reviewed,Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein),DDX39B BAT1 UAP56,Homo sapiens (Human),428
NP_115784,Q9UIG0,BAZ1B_HUMAN,reviewed,Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2),BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF,Homo sapiens (Human),1483
NP_078792,Q9BTK6,PAGR1_HUMAN,reviewed,PAXIP1-associated glutamate-rich protein 1 (PAXIP1-associated protein 1) (PTIP-associated protein 1),PAGR1 C16orf53 PA1,Homo sapiens (Human),254
NP_690868,B4E2A4,B4E2A4_HUMAN,unreviewed,"cDNA FLJ53275, highly similar to Homo sapiens spectrin domain with coiled-coils 1 (SPECC1), transcript variant, mRNA",,Homo sapiens (Human),987
NP_690868,Q5M775,CYTSB_HUMAN,reviewed,Cytospin-B (Nuclear structure protein 5) (NSP5) (Sperm antigen HCMOGT-1) (Sperm antigen with calponin homology and coiled-coil domains 1),SPECC1 CYTSB NSP5,Homo sapiens (Human),1068
NP_001972,P42566,EPS15_HUMAN,reviewed,Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p),EPS15 AF1P,Homo sapiens (Human),896
NP_075064,Q86WP2,GPBP1_HUMAN,reviewed,Vasculin (GC-rich promoter-binding protein 1) (Vascular wall-linked protein),GPBP1 GPBP SSH6,Homo sapiens (Human),473
NP_005511,P31943,HNRH1_HUMAN,reviewed,"Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]",HNRNPH1 HNRPH HNRPH1,Homo sapiens (Human),449
NP_075384,Q8N9T8,KRI1_HUMAN,reviewed,Protein KRI1 homolog,KRI1,Homo sapiens (Human),703
NP_002408,P46013,KI67_HUMAN,reviewed,Antigen KI-67,MKI67,Homo sapiens (Human),3256
NP_079005,Q7Z406,MYH14_HUMAN,reviewed,"Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)",MYH14 KIAA2034 FP17425,Homo sapiens (Human),1995
NP_004732,B2RAU8,B2RAU8_HUMAN,unreviewed,"cDNA, FLJ95131, highly similar to Homo sapiens nucleolar and coiled-body phosphoprotein 1 (NOLC1), mRNA",,Homo sapiens (Human),699
NP_004732,Q14978,NOLC1_HUMAN,reviewed,Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130),NOLC1 KIAA0035 NS5ATP13,Homo sapiens (Human),699
NP_004732,Q96J17,Q96J17_HUMAN,unreviewed,"NOLC1 protein (Nucleolar and coiled-body phosphoprotein 1, isoform CRA_a) (cDNA FLJ32193 fis, clone PLACE6002345, highly similar to Nucleolar phosphoprotein p130)",NOLC1 hCG_25636,Homo sapiens (Human),418
NP_006383,O00567,NOP56_HUMAN,reviewed,Nucleolar protein 56 (Nucleolar protein 5A),NOP56 NOL5A,Homo sapiens (Human),594
NP_064590,Q6GQQ9,OTU7B_HUMAN,reviewed,OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne),OTUD7B ZA20D1,Homo sapiens (Human),843
NP_005379,Q13371,PHLP_HUMAN,reviewed,Phosducin-like protein (PHLP),PDCL PHLOP1 PhLP1,Homo sapiens (Human),301
NP_005595,P20265,PO3F2_HUMAN,reviewed,"POU domain, class 3, transcription factor 2 (Brain-specific homeobox/POU domain protein 2) (Brain-2) (Brn-2) (Nervous system-specific octamer-binding transcription factor N-Oct-3) (Octamer-binding protein 7) (Oct-7) (Octamer-binding transcription factor 7) (OTF-7)",POU3F2 BRN2 OCT7 OTF7,Homo sapiens (Human),443
NP_006256,O60216,RAD21_HUMAN,reviewed,Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog),RAD21 HR21 KIAA0078 NXP1,Homo sapiens (Human),631
NP_002889,Q15434,RBMS2_HUMAN,reviewed,"RNA-binding motif, single-stranded-interacting protein 2 (Suppressor of CDC2 with RNA-binding motif 3)",RBMS2 SCR3,Homo sapiens (Human),407
NP_005436,Q9UQE7,SMC3_HUMAN,reviewed,Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP),SMC3 BAM BMH CSPG6 SMC3L1,Homo sapiens (Human),1217
NP_116185,Q96A49,SYAP1_HUMAN,reviewed,Synapse-associated protein 1,SYAP1 PRO3113,Homo sapiens (Human),352
NP_653333,Q9BUJ2,HNRL1_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5),HNRNPUL1 E1BAP5 HNRPUL1,Homo sapiens (Human),856
NP_001790,P50613,CDK7_HUMAN,reviewed,Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit),CDK7 CAK CAK1 CDKN7 MO15 STK1,Homo sapiens (Human),346
NP_060037,Q9UJ70,NAGK_HUMAN,reviewed,N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase),NAGK,Homo sapiens (Human),344
NP_002706,B3KUN1,B3KUN1_HUMAN,unreviewed,Serine/threonine-protein phosphatase (EC 3.1.3.16),PPP2CA hCG_16586,Homo sapiens (Human),309
NP_002706,P67775,PP2AA_HUMAN,reviewed,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C),PPP2CA,Homo sapiens (Human),309
NP_003063,A7E2E1,A7E2E1_HUMAN,unreviewed,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 (SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4, isoform CRA_a) (cDNA FLJ77531, highly similar to Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 (SMARCA4), mRNA)",SMARCA4 hCG_29955,Homo sapiens (Human),1647
NP_003063,P51532,SMCA4_HUMAN,reviewed,Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4),SMARCA4 BAF190A BRG1 SNF2B SNF2L4,Homo sapiens (Human),1647
NP_006653,Q6ZRS2,SRCAP_HUMAN,reviewed,Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator),SRCAP KIAA0309,Homo sapiens (Human),3230
"NP_001081,NP_001020262",Q8NE71,ABCF1_HUMAN,reviewed,ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein),ABCF1 ABC50,Homo sapiens (Human),845
NP_059990,Q99549,MPP8_HUMAN,reviewed,M-phase phosphoprotein 8 (Two hybrid-associated protein 3 with RanBPM) (Twa3),MPHOSPH8 MPP8,Homo sapiens (Human),860
NP_997545,Q6PJT7,ZC3HE_HUMAN,reviewed,Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37),ZC3H14,Homo sapiens (Human),736
"NP_001003407,NP_002304",B3KSG3,B3KSG3_HUMAN,unreviewed,"cDNA FLJ36152 fis, clone TESTI2025403, highly similar to Actin-binding LIM protein 1",,Homo sapiens (Human),531
"NP_001003407,NP_002304",O14639,ABLM1_HUMAN,reviewed,Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin),ABLIM1 ABLIM KIAA0059 LIMAB1,Homo sapiens (Human),778
NP_689449,Q00587,BORG5_HUMAN,reviewed,Cdc42 effector protein 1 (Binder of Rho GTPases 5) (Serum protein MSE55),CDC42EP1 BORG5 CEP1 MSE55,Homo sapiens (Human),391
NP_001793,Q01850,CDR2_HUMAN,reviewed,Cerebellar degeneration-related protein 2 (Major Yo paraneoplastic antigen) (Paraneoplastic cerebellar degeneration-associated antigen),CDR2 PCD17,Homo sapiens (Human),454
NP_079175,B4DP81,B4DP81_HUMAN,unreviewed,"Centrosomal protein of 76 kDa (cDNA FLJ61148, moderately similar to Centrosomal protein of 76 kDa)",CEP76,Homo sapiens (Human),112
NP_079175,Q8TAP6,CEP76_HUMAN,reviewed,Centrosomal protein of 76 kDa (Cep76),CEP76 C18orf9,Homo sapiens (Human),659
NP_689596,Q8IYB7,DI3L2_HUMAN,reviewed,DIS3-like exonuclease 2 (hDIS3L2) (EC 3.1.13.-),DIS3L2 FAM6A,Homo sapiens (Human),885
NP_003749,O75822,EIF3J_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35),EIF3J EIF3S1 PRO0391,Homo sapiens (Human),258
NP_001447,P21333,FLNA_HUMAN,reviewed,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),FLNA FLN FLN1,Homo sapiens (Human),2647
NP_001447,Q60FE5,Q60FE5_HUMAN,unreviewed,Filamin A (Filamin-A),FLNA,Homo sapiens (Human),2620
NP_001447,Q6NXF2,Q6NXF2_HUMAN,unreviewed,FLNA protein (Fragment),FLNA,Homo sapiens (Human),983
NP_073733,Q9H0B6,KLC2_HUMAN,reviewed,Kinesin light chain 2 (KLC 2),KLC2,Homo sapiens (Human),622
NP_958929,Q9NSK0,KLC4_HUMAN,reviewed,Kinesin light chain 4 (KLC 4) (Kinesin-like protein 8),KLC4 KNSL8,Homo sapiens (Human),619
NP_056092,Q96PU5,NED4L_HUMAN,reviewed,E3 ubiquitin-protein ligase NEDD4-like (EC 6.3.2.-) (NEDD4.2) (Nedd4-2),NEDD4L KIAA0439 NEDL3,Homo sapiens (Human),975
NP_006161,P46087,NOP2_HUMAN,reviewed,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120),NOP2 NOL1 NSUN1,Homo sapiens (Human),812
NP_004783,Q13427,PPIG_HUMAN,reviewed,Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G),PPIG,Homo sapiens (Human),754
NP_002798,Q99460,PSMD1_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112),PSMD1,Homo sapiens (Human),953
NP_004210,O95997,PTTG1_HUMAN,reviewed,Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG),PTTG1 EAP1 PTTG TUTR1,Homo sapiens (Human),202
NP_004210,Q6IAL9,Q6IAL9_HUMAN,unreviewed,"PTTG1 protein (Pituitary tumor-transforming 1) (Pituitary tumor-transforming 1, isoform CRA_a) (cDNA, FLJ92498, Homo sapiens pituitary tumor-transforming 1 (PTTG1), mRNA)",PTTG1 hCG_16307,Homo sapiens (Human),202
NP_005040,Q15269,PWP2_HUMAN,reviewed,Periodic tryptophan protein 2 homolog,PWP2 PWP2H,Homo sapiens (Human),919
NP_055971,J3KN32,J3KN32_HUMAN,unreviewed,"REST corepressor 1 (REST corepressor 1, isoform CRA_a)",RCOR1 hCG_24743,Homo sapiens (Human),485
NP_055971,Q9UKL0,RCOR1_HUMAN,reviewed,REST corepressor 1 (Protein CoREST),RCOR1 KIAA0071 RCOR,Homo sapiens (Human),482
NP_065859,Q9P2F8,SI1L2_HUMAN,reviewed,Signal-induced proliferation-associated 1-like protein 2 (SIPA1-like protein 2),SIPA1L2 KIAA1389,Homo sapiens (Human),1722
NP_009123,Q9Y5B9,SP16H_HUMAN,reviewed,FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16),SUPT16H FACT140 FACTP140,Homo sapiens (Human),1047
NP_001073898,Q9P1Y5,CAMP3_HUMAN,reviewed,Calmodulin-regulated spectrin-associated protein 3 (Protein Nezha),CAMSAP3 KIAA1543,Homo sapiens (Human),1249
NP_001026902,Q96MU7,YTDC1_HUMAN,reviewed,YTH domain-containing protein 1 (Putative splicing factor YT521) (YT521-B),YTHDC1 KIAA1966 YT521,Homo sapiens (Human),727
NP_067049,Q7Z5H3,RHG22_HUMAN,reviewed,Rho GTPase-activating protein 22 (Rho-type GTPase-activating protein 22),ARHGAP22 RHOGAP2,Homo sapiens (Human),698
NP_002624,P36871,PGM1_HUMAN,reviewed,Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1),PGM1,Homo sapiens (Human),562
NP_006377,Q92841,DDX17_HUMAN,reviewed,Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (RNA-dependent helicase p72),DDX17,Homo sapiens (Human),729
NP_002476,O60934,NBN_HUMAN,reviewed,Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1),NBN NBS NBS1 P95,Homo sapiens (Human),754
NP_054781,Q9ULX3,NOB1_HUMAN,reviewed,RNA-binding protein NOB1 (Phosphorylation regulatory protein HP-10) (Protein ART-4),NOB1 ART4 NOB1P PSMD8BP1 MSTP158,Homo sapiens (Human),412
NP_057332,Q9UKA4,AKA11_HUMAN,reviewed,A-kinase anchor protein 11 (AKAP-11) (A-kinase anchor protein 220 kDa) (AKAP 220) (hAKAP220) (Protein kinase A-anchoring protein 11) (PRKA11),AKAP11 AKAP220 KIAA0629,Homo sapiens (Human),1901
NP_076943,Q9BQ61,CS043_HUMAN,reviewed,Uncharacterized protein C19orf43,C19orf43,Homo sapiens (Human),176
NP_001073883,B4DZB8,B4DZB8_HUMAN,unreviewed,"cDNA FLJ59076, highly similar to Mus musculus coiled-coil domain containing 88C (Ccdc88c), mRNA",,Homo sapiens (Human),234
NP_001073883,Q9P219,DAPLE_HUMAN,reviewed,Protein Daple (Coiled-coil domain-containing protein 88C) (Dvl-associating protein with a high frequency of leucine residues) (hDaple) (Hook-related protein 2) (HkRP2),CCDC88C DAPLE KIAA1509,Homo sapiens (Human),2028
NP_003409,P62633,CNBP_HUMAN,reviewed,Cellular nucleic acid-binding protein (CNBP) (Zinc finger protein 9),CNBP RNF163 ZNF9,Homo sapiens (Human),177
NP_057733,Q9H501,ESF1_HUMAN,reviewed,ESF1 homolog (ABT1-associated protein),ESF1 ABTAP C20orf6 HDCMC28P,Homo sapiens (Human),851
NP_006715,Q9P1M2,Q9P1M2_HUMAN,unreviewed,PRO0412,,Homo sapiens (Human),544
NP_006715,Q9Y6R4,M3K4_HUMAN,reviewed,Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4),MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1,Homo sapiens (Human),1608
NP_005875,O96013,PAK4_HUMAN,reviewed,Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4),PAK4 KIAA1142,Homo sapiens (Human),591
NP_060404,Q8WWQ0,PHIP_HUMAN,reviewed,PH-interacting protein (PHIP) (IRS-1 PH domain-binding protein) (WD repeat-containing protein 11),PHIP WDR11,Homo sapiens (Human),1821
NP_002725,B2R5T5,B2R5T5_HUMAN,unreviewed,"Protein kinase, cAMP-dependent, regulatory, type I, alpha (Tissue specific extinguisher 1), isoform CRA_a (cDNA FLJ40261 fis, clone TESTI2025609, highly similar to cAMP-dependent protein kinase type I-alpha regulatory subunit) (cDNA, FLJ92612, Homo sapiens protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1) (PRKAR1A), mRNA)",PRKAR1A hCG_28462,Homo sapiens (Human),381
NP_002725,P10644,KAP0_HUMAN,reviewed,"cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1) [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]",PRKAR1A PKR1 PRKAR1 TSE1,Homo sapiens (Human),381
NP_056132,Q8TB72,PUM2_HUMAN,reviewed,Pumilio homolog 2 (Pumilio-2),PUM2 KIAA0235 PUMH2,Homo sapiens (Human),1066
NP_079427,Q6WKZ4,RFIP1_HUMAN,reviewed,Rab11 family-interacting protein 1 (Rab11-FIP1) (Rab-coupling protein),RAB11FIP1 RCP,Homo sapiens (Human),1283
NP_005608,P62263,RS14_HUMAN,reviewed,40S ribosomal protein S14,RPS14 PRO2640,Homo sapiens (Human),151
NP_054754,Q9Y343,SNX24_HUMAN,reviewed,Sorting nexin-24,SNX24 SBBI31 UNQ654/PRO1284,Homo sapiens (Human),169
NP_003244,Q13009,TIAM1_HUMAN,reviewed,T-lymphoma invasion and metastasis-inducing protein 1 (TIAM-1),TIAM1,Homo sapiens (Human),1591
NP_056989,O15164,TIF1A_HUMAN,reviewed,Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 6.3.2.-) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (Tripartite motif-containing protein 24),TRIM24 RNF82 TIF1 TIF1A,Homo sapiens (Human),1050
NP_001092906,B4DDG2,B4DDG2_HUMAN,unreviewed,"cDNA FLJ50436, weakly similar to Serine/threonine-protein kinase ATG1 (EC 2.7.11.1)",,Homo sapiens (Human),355
NP_001092906,Q6PHR2,ULK3_HUMAN,reviewed,Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3),ULK3,Homo sapiens (Human),472
NP_003706,O60763,USO1_HUMAN,reviewed,General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein),USO1 VDP,Homo sapiens (Human),962
NP_005222,Q14247,SRC8_HUMAN,reviewed,Src substrate cortactin (Amplaxin) (Oncogene EMS1),CTTN EMS1,Homo sapiens (Human),550
NP_005222,Q53HG7,Q53HG7_HUMAN,unreviewed,Cortactin isoform a variant (Fragment),,Homo sapiens (Human),550
NP_056154,Q9H2P0,ADNP_HUMAN,reviewed,Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein),ADNP ADNP1 KIAA0784,Homo sapiens (Human),1102
NP_055412,Q5QJE6,TDIF2_HUMAN,reviewed,Deoxynucleotidyltransferase terminal-interacting protein 2 (Estrogen receptor-binding protein) (LPTS-interacting protein 2) (LPTS-RP2) (Terminal deoxynucleotidyltransferase-interacting factor 2) (TdIF2) (TdT-interacting factor 2),DNTTIP2 ERBP TDIF2,Homo sapiens (Human),756
NP_056139,O43159,RRP8_HUMAN,reviewed,Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin),RRP8 KIAA0409 NML hucep-1,Homo sapiens (Human),456
NP_001003694,P55201,BRPF1_HUMAN,reviewed,Peregrin (Bromodomain and PHD finger-containing protein 1) (Protein Br140),BRPF1 BR140,Homo sapiens (Human),1214
"NP_054782,NP_001014436",Q9UJU6,DBNL_HUMAN,reviewed,Drebrin-like protein (Cervical SH3P7) (Cervical mucin-associated protein) (Drebrin-F) (HPK1-interacting protein of 55 kDa) (HIP-55) (SH3 domain-containing protein 7),DBNL CMAP SH3P7 PP5423,Homo sapiens (Human),430
NP_060615,Q96TC7,RMD3_HUMAN,reviewed,Regulator of microtubule dynamics protein 3 (RMD-3) (hRMD-3) (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51),RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274,Homo sapiens (Human),470
NP_004699,O14737,PDCD5_HUMAN,reviewed,Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19),PDCD5 TFAR19,Homo sapiens (Human),125
NP_057396,Q9Y2W2,WBP11_HUMAN,reviewed,WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1),WBP11 NPWBP SIPP1 SNP70,Homo sapiens (Human),641
